domain,field,Most-Recent-Wins,Highest-Source-Wins,Majority-Vote,Bayesian EM (Ours)
maternal,Haemoglobin (g/dL),0.4547,0.0381,0.1508,0.1066
maternal,Systolic BP (mmHg),8.0644,0.3777,2.6865,1.8256
maternal,Blood Sugar (mg/dL),7.0619,0.7124,2.9538,2.22
maternal,Weight (kg),1.7461,0.084,0.5555,0.4183
maternal,Fundal Height (cm),0.304,0.0785,0.0949,0.0716
maternal,ANC Visits,0.5628,0.0842,0.1888,0.1428
child,Child Weight (kg),0.4425,0.0425,0.1374,0.1061
child,Height (cm),0.9116,0.1081,0.2944,0.229
child,MUAC (cm),0.3665,0.0459,0.1144,0.0879
child,WAZ Score,0.0,0.0,0.0,0.0
child,HAZ Score,0.0,0.0,0.0,0.0
child,Child Haemoglobin (g/dL),0.0,0.0,0.0,0.0
chronic,Fasting Blood Sugar (mg/dL),7.3337,3.6668,1.8334,1.228
chronic,Postprandial Sugar (mg/dL),8.555,4.2775,2.1387,1.4322
chronic,Systolic BP Reading (mmHg),11.0867,1.2039,3.677,2.4017
chronic,Diastolic BP Reading (mmHg),5.8903,0.612,1.9573,1.2721
chronic,HbA1c (%),0.0,0.0,0.0,0.0
chronic,Creatinine (mg/dL),0.0,0.0,0.0,0.0
chronic,BMI (kg/m²),0.0,0.0,0.0,0.0
